# minimal even eigenvector as a function on the centred window log u in [-L/2, L/2], unit L^2(d*u) norm;
# recomputed (multiprecision midpoint inverse iteration on zst's even block); Rayleigh quotient = certified eps
x,N,log_u,xi(u)
50,360,0.5672433358,0.04021178124
50,360,0.5868034508,0.02966665184
50,360,0.6063635658,0.02152243679
50,360,0.6259236809,0.01534343557
50,360,0.6454837959,0.01074108512
50,360,0.6650439109,0.00737800595
50,360,0.6846040259,0.004968784326
50,360,0.704164141,0.003278082481
50,360,0.723724256,0.002116746756
50,360,0.743284371,0.001336593819
50,360,0.7628444861,0.0008245068651
50,360,0.7824046011,0.0004963815616
50,360,0.8019647161,0.0002913427216
50,360,0.8215248311,0.0001665243225
50,360,0.8410849462,9.258269941e-05
50,360,0.8606450612,5.000677646e-05
50,360,0.8802051762,2.620691815e-05
50,360,0.8997652912,1.330772297e-05
50,360,0.9193254063,6.53844676e-06
50,360,0.9388855213,3.103692221e-06
50,360,0.9584456363,1.421123852e-06
50,360,0.9780057514,6.266342216e-07
50,360,0.9975658664,2.656233041e-07
50,360,1.017125981,1.080408214e-07
50,360,1.036686096,4.208573912e-08
50,360,1.056246211,1.566809298e-08
50,360,1.075806326,5.56275318e-09
50,360,1.095366442,1.879145457e-09
50,360,1.114926557,6.025246627e-10
50,360,1.134486672,1.829013945e-10
50,360,1.154046787,5.242086272e-11
50,360,1.173606902,1.414440068e-11
50,360,1.193167017,3.5819468e-12
50,360,1.212727132,8.484642294e-13
50,360,1.232287247,1.874526754e-13
50,360,1.251847362,3.850532638e-14
50,360,1.271407477,7.267752565e-15
50,360,1.290967592,1.219920093e-15
50,360,1.310527707,1.26723969e-16
50,360,1.330087822,-5.364217704e-17
50,360,1.349647937,-1.018685917e-16
50,360,1.369208052,-5.27100822e-17
50,360,1.388768167,-2.669970682e-16
50,360,1.408328282,-2.720715876e-16
50,360,1.427888397,6.565698502e-17
50,360,1.447448512,-3.638842235e-16
50,360,1.467008627,-5.212916537e-17
50,360,1.486568742,7.168921343e-17
50,360,1.506128857,2.793481158e-16
50,360,1.525688972,-8.307820943e-17
50,360,1.545249087,1.243384739e-16
50,360,1.564809202,-1.222616901e-16
50,360,1.584369317,-4.029684035e-16
50,360,1.603929432,-2.592967511e-16
50,360,1.623489547,6.669314257e-17
50,360,1.643049662,-2.463338894e-17
50,360,1.662609777,1.974440682e-16
50,360,1.682169892,-2.978137333e-16
50,360,1.701730007,-3.03881989e-16
50,360,1.721290122,-3.606534583e-16
50,360,1.740850237,1.202876714e-16
50,360,1.760410352,-6.925635301e-17
50,360,1.779970467,-3.31782071e-17
50,360,1.799530582,-4.39453231e-19
50,360,1.819090698,-2.194692669e-16
50,360,1.838650813,-2.231610753e-17
50,360,1.858210928,-1.284994792e-16
50,360,1.877771043,6.440147496e-17
50,360,1.897331158,-1.767727367e-16
50,360,1.916891273,4.053009213e-17
50,360,1.936451388,-8.487193616e-17
50,360,1.956011503,-3.440709031e-17
