# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=chi_-4 block=E index=35 eigenvalue=[3.97920913167 +/- 4.76e-12] lower_count=34 upper_count=35 certified=1
SPECTRUM object=chi_-4 block=E index=36 eigenvalue=[4.00802861583 +/- 8.16e-12] lower_count=35 upper_count=36 certified=1
SPECTRUM object=chi_-4 block=E index=37 eigenvalue=[4.03604476657 +/- 5.34e-12] lower_count=36 upper_count=37 certified=1
SPECTRUM object=chi_-4 block=E index=38 eigenvalue=[4.06330161514 +/- 8.38e-12] lower_count=37 upper_count=38 certified=1
SPECTRUM object=chi_-4 block=E index=39 eigenvalue=[4.08983973823 +/- 6.02e-12] lower_count=38 upper_count=39 certified=1
SPECTRUM object=chi_-4 block=E index=40 eigenvalue=[4.11569662346 +/- 5.23e-12] lower_count=39 upper_count=40 certified=1
SPECTRUM object=chi_-4 block=E index=41 eigenvalue=[4.14090699123 +/- 5.83e-12] lower_count=40 upper_count=41 certified=1
SPECTRUM object=chi_-4 block=E index=42 eigenvalue=[4.16550307976 +/- 5.92e-12] lower_count=41 upper_count=42 certified=1
SPECTRUM object=chi_-4 block=E index=43 eigenvalue=[4.18951489982 +/- 8.10e-12] lower_count=42 upper_count=43 certified=1
SPECTRUM object=chi_-4 block=E index=44 eigenvalue=[4.21297046447 +/- 5.36e-12] lower_count=43 upper_count=44 certified=1
SPECTRUM object=chi_-4 block=E index=45 eigenvalue=[4.23589599912 +/- 6.83e-12] lower_count=44 upper_count=45 certified=1
SPECTRUM object=chi_-4 block=E index=46 eigenvalue=[4.25831613713 +/- 4.99e-12] lower_count=45 upper_count=46 certified=1
SPECTRUM object=chi_-4 block=E index=47 eigenvalue=[4.28025410647 +/- 5.78e-12] lower_count=46 upper_count=47 certified=1
SPECTRUM object=chi_-4 block=E index=48 eigenvalue=[4.30173191415 +/- 4.01e-12] lower_count=47 upper_count=48 certified=1
SPECTRUM object=chi_-4 block=E index=49 eigenvalue=[4.32277053722 +/- 6.25e-12] lower_count=48 upper_count=49 certified=1
SPECTRUM object=chi_-4 block=E index=50 eigenvalue=[4.34339013281 +/- 6.16e-12] lower_count=49 upper_count=50 certified=1
SPECTRUM object=chi_-4 block=E index=51 eigenvalue=[4.36361028689 +/- 5.97e-12] lower_count=50 upper_count=51 certified=1
SPECTRUM object=chi_-4 block=E index=52 eigenvalue=[4.38345033429 +/- 5.38e-12] lower_count=51 upper_count=52 certified=1
SPECTRUM object=chi_-4 block=E index=53 eigenvalue=[4.40292980825 +/- 4.60e-12] lower_count=52 upper_count=53 certified=1
SPECTRUM object=chi_-4 block=E index=54 eigenvalue=[4.42206913031 +/- 4.60e-12] lower_count=53 upper_count=54 certified=1
SPECTRUM object=chi_-4 block=E index=55 eigenvalue=[4.44089076864 +/- 6.34e-12] lower_count=54 upper_count=55 certified=1
SPECTRUM object=chi_-4 block=E index=56 eigenvalue=[4.45942137807 +/- 6.02e-12] lower_count=55 upper_count=56 certified=1
SPECTRUM object=chi_-4 block=E index=57 eigenvalue=[4.47769622219 +/- 7.60e-12] lower_count=56 upper_count=57 certified=1
SPECTRUM object=chi_-4 block=E index=58 eigenvalue=[4.49576974863 +/- 4.43e-12] lower_count=57 upper_count=58 certified=1
SPECTRUM object=chi_-4 block=E index=59 eigenvalue=[4.51374703718 +/- 4.28e-12] lower_count=58 upper_count=59 certified=1
SPECTRUM object=chi_-4 block=E index=60 eigenvalue=[4.53192304926 +/- 6.88e-12] lower_count=59 upper_count=60 certified=1
SPECTRUM object=chi_-4 block=E index=61 eigenvalue=[4.58747968789 +/- 4.02e-12] lower_count=60 upper_count=61 certified=1
SPECTRUM object=chi_-4 block=O index=1 eigenvalue=[0.20093007322 +/- 8.29e-12] lower_count=0 upper_count=1 certified=1
SPECTRUM object=chi_-4 block=O index=2 eigenvalue=[1.00897139748 +/- 5.92e-12] lower_count=1 upper_count=2 certified=1
SPECTRUM object=chi_-4 block=O index=3 eigenvalue=[1.45915153024 +/- 6.53e-12] lower_count=2 upper_count=3 certified=1
SPECTRUM object=chi_-4 block=O index=4 eigenvalue=[1.76888787900 +/- 6.58e-12] lower_count=3 upper_count=4 certified=1
SPECTRUM object=chi_-4 block=O index=5 eigenvalue=[2.00510283663 +/- 6.56e-12] lower_count=4 upper_count=5 certified=1
SPECTRUM object=chi_-4 block=O index=6 eigenvalue=[2.19605841891 +/- 7.24e-12] lower_count=5 upper_count=6 certified=1
SPECTRUM object=chi_-4 block=O index=7 eigenvalue=[2.35633177482 +/- 8.15e-12] lower_count=6 upper_count=7 certified=1
SPECTRUM object=chi_-4 block=O index=8 eigenvalue=[2.49442808047 +/- 5.63e-12] lower_count=7 upper_count=8 certified=1
SPECTRUM object=chi_-4 block=O index=9 eigenvalue=[2.61574383699 +/- 4.70e-12] lower_count=8 upper_count=9 certified=1
SPECTRUM object=chi_-4 block=O index=10 eigenvalue=[2.72391819030 +/- 4.34e-12] lower_count=9 upper_count=10 certified=1
SPECTRUM object=chi_-4 block=O index=11 eigenvalue=[2.82152163902 +/- 7.33e-12] lower_count=10 upper_count=11 certified=1
SPECTRUM object=chi_-4 block=O index=12 eigenvalue=[2.91043733131 +/- 3.71e-12] lower_count=11 upper_count=12 certified=1
SPECTRUM object=chi_-4 block=O index=13 eigenvalue=[2.99208616771 +/- 6.24e-12] lower_count=12 upper_count=13 certified=1
SPECTRUM object=chi_-4 block=O index=14 eigenvalue=[3.06756669827 +/- 6.36e-12] lower_count=13 upper_count=14 certified=1
SPECTRUM object=chi_-4 block=O index=15 eigenvalue=[3.13774580307 +/- 4.63e-12] lower_count=14 upper_count=15 certified=1
