zst: x = 50 (prime powers <= 50), N = 500, prec = 2100 bits, L = [3.91202300542815 +/- 3.95e-15]
matrix build: 4.29s
minimal even eigenvalue eps_N = [2.161475058e-258 +/- 2.62e-268]  (Rump-certified, 131.45s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (93.12s)
xi_0 = [1.388132192e+127 +/- 4.89e+117], xi_1 = [-1.309002223e+127 +/- 6.40e+116], xi_N = [0.00030039 +/- 1.08e-9]
positive secular roots: 500 certified of N = 500, 0 unresolved  ->  spectrum COMPLETE  (223.47s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
194   387.2228902223879809759485147381098140910   1.49e-61
195   388.8461283542322546008094203003735580574   1.79e-61
196   391.4560835636380457705782281225541347722   9.45e-60
197   392.2450833395190967490151841709928805624   4.14e-59
198   393.4277438444340259366989529201288699205   4.60e-59
199   395.5828700109937209708777113231416421361   4.54e-58
200   396.3818542225921869319994544917305290638   1.02e-57
201   397.9187362096142433869811797107986838045   8.08e-58
202   399.9851198761948995059172998682896457706   3.17e-57
203   401.8392286005332165399113043782872307264   7.41e-56
204   402.8619177638861141763154430960396346969   3.47e-55
205   404.2364418002080047402277995635276901961   1.20e-54
206   405.1343874599099272574862680254167361628   1.16e-54
207   407.5814603868961820763090011813905376405   2.60e-54
208   408.9472455023511125196340397641579017956   1.44e-53
209   410.5138691933666386467691052848671877897   7.11e-53
210   411.9722678042787506646402985072729174075   3.71e-52
211   413.2627360701850468862570593177290908706   1.10e-51
212   415.0188097551551156463192114628172215099   1.86e-50
213   415.4552149962945988571287824866698249317   1.91e-50
214   418.3877057895347792260457230995547988242   2.30e-50
215   419.8613648181523236878523091383828173933   6.16e-49
216   420.6438276250417862679746529850004807025   1.44e-48
217   422.0767100588267596298406654493813752742   1.43e-48
218   423.7165796274818186105628747317660741893   3.34e-48
219   425.0698824944613476143746926491564313421   6.29e-48
220   427.2088250840745805281429338857115983852   6.47e-47
221   428.1279140766166821103050684863181593093   1.57e-46
222   430.3287454309386366699269815418548626842   1.87e-45
223   431.3013069307035920195051219275556810535   1.16e-44
224   432.1386417345885683062532491089527169051   1.09e-44
225   433.8892184809272253029466110507929024489   4.98e-45
226   436.1610064326469840718015182623780379899   4.05e-44
227   437.5816981676685811540131672333254594988   5.10e-43
228   438.6217386562721962909150101371703956298   1.56e-42
229   439.9184422143706564102217900270240392808   2.09e-42
230   441.6831992011890238742044364991679930714   6.47e-42
231   442.9045463026094494697231024127662020661   1.61e-41
232   444.3193362775591559203057435397906209456   1.94e-41
233   446.8606226964295225288608751807467431377   9.97e-40
234   447.4417041944932900655269253036091597305   2.38e-39
235   449.1485456850233047530235031347046500033   5.31e-39
236   450.1269457803135240300457625287817055144   1.04e-38
237   451.4033084453887954621132246313588112042   6.19e-39
238   453.9867378066779160383668102940048583723   5.60e-38
239   454.9746837686167888753094389512709459272   2.50e-37
240   456.3284266892460512244998300630554834990   4.97e-37
241   457.9038930641029715746993291717876450464   1.52e-36
242   459.5134152811060117540099438020414054040   2.04e-35
243   460.0879444221758412553302554282065462695   2.40e-35
244   462.0653672748825309638309211456184620516   8.40e-36
245   464.0572869105482845762460847836666759721   5.63e-35
246   465.6715392113710945529666457439955300618   1.21e-33
247   466.5702869308262551673921259522644171433   5.05e-33
248   467.4390462102616388566450013844468459262   3.61e-33
249   469.5360045591120321918190688291231693318   3.65e-33
250   470.7736554781016476901188794544363611874   7.65e-33
251   472.7991746619088166582979926817700538570   5.07e-32
252   473.8352323451396870738054680233831872330   1.44e-31
253   475.6003393693757856054288199236805464836   6.21e-31
254   476.7690152374845208528486891954705711268   2.26e-30
255   478.0752637666709691998727274049156264683   6.11e-30
256   478.9421815346348265383171017670428630384   4.38e-30
